id,vessel_dice,vessel_haus95
7,0.08715802871948933,47.81535751679818
1,0.6690753459276693,23.20310042152002
11,0.03359537518211779,111.24248276933938
8,0.37123167097361415,33.94891834137094
3,0.8213788444519268,30.75868021947616
6,0.8022399622935528,17.326337441788688
9,0.00010413801758597395,90.19573114363243
10,0.6582818576275947,106.44225368311507
5,0.811699013161448,15.896179968711232
12,0.07179760978484157,29.07378813037613
2,0.8359689073195465,14.029247251452333
4,0.7901533132747931,242.2487120225049
Mean,0.49605700556118165,63.515065742507126
Std,0.3391303762852661,63.66114854582588
25th Percentile,0.08331792398582738,21.73390967658719
Median,0.6636786017776319,32.35379928042355
75th Percentile,0.8046047250105266,94.25736177850308
