id,vessel_dice,vessel_haus95
1,0.8516220653368778,12.0
7,0.8901724525666671,7.966065197615823
11,0.9282078053755881,3.5191350749900736
8,0.9121741209187668,8.07090805825253
6,0.925426432277967,5.811077641199676
3,0.868449467359098,7.369140625
9,0.891466961975641,8.048881206601232
10,0.9249063078701389,9.0
5,0.8991834811965141,13.833770254810892
12,0.9462246047099286,3.620282490704282
2,0.907081674730972,17.09566574938077
4,0.7380843831545423,328.00011576673745
Mean,0.8902499797893918,35.36125350544106
Std,0.05242408351029472,88.31507883252667
25th Percentile,0.8847417062647749,6.9796248790499185
Median,0.9031325779637431,8.05989463242688
75th Percentile,0.9250363389720959,12.458442563702723
