id,vessel_dice,vessel_haus95
1,0.8476500492509461,21.308094721614207
7,0.8862043513046172,8.918031415748398
8,0.908822930836877,9.775979666631002
11,0.9125340639592263,5.935115937897849
6,0.9245204261265676,6.579125262615951
9,0.879135954999946,9.216796875
3,0.850647653806162,8.9933048352845
10,0.9083121257411141,9.239964995875255
5,0.9061224881484752,11.857671522347243
12,0.9489295118879517,3.5050187232024883
2,0.9091936115069666,17.33192340300569
4,0.7814776442294789,323.6757734951077
Mean,0.8886292343165274,36.36140007119419
Std,0.04254332191280782,86.75267851220998
25th Percentile,0.8720138797015,8.333304877465286
Median,0.9072173069447946,9.228380935437627
75th Percentile,0.9100287246200316,13.226234492511853
